time,obstacle_id,x,y,z,radius
14.0,inner_patrol_ball,26.8009,6.2462,-3.0,0.45
14.0,target_patrol_ball,28.5966,18.2046,-3.0,0.45
14.25,fast_crossing_ball_1,10.0,-0.5,-3.0,0.55
14.25,fast_crossing_ball_2,16.0,9.275,-3.0,0.55
14.25,diagonal_crossing_ball,23.1014,-10.4566,-3.0,0.5
14.25,inner_patrol_ball,26.637,6.665,-3.0,0.45
14.25,target_patrol_ball,28.3915,18.5182,-3.0,0.45
14.5,fast_crossing_ball_1,10.0,-0.2,-3.0,0.55
14.5,fast_crossing_ball_2,16.0,8.95,-3.0,0.55
14.5,diagonal_crossing_ball,23.1662,-10.1893,-3.0,0.5
14.5,inner_patrol_ball,26.4271,7.0628,-3.0,0.45
14.5,target_patrol_ball,28.2271,18.855,-3.0,0.45
14.75,fast_crossing_ball_1,10.0,0.1,-3.0,0.55
14.75,fast_crossing_ball_2,16.0,8.625,-3.0,0.55
14.75,diagonal_crossing_ball,23.231,-9.9221,-3.0,0.5
14.75,inner_patrol_ball,26.1739,7.4345,-3.0,0.45
14.75,target_patrol_ball,28.106,19.2097,-3.0,0.45
15.0,fast_crossing_ball_1,10.0,0.4,-3.0,0.55
15.0,fast_crossing_ball_2,16.0,8.3,-3.0,0.55
15.0,diagonal_crossing_ball,23.2958,-9.6548,-3.0,0.5
15.0,inner_patrol_ball,25.8805,7.7754,-3.0,0.45
15.0,target_patrol_ball,28.03,19.5766,-3.0,0.45
15.25,fast_crossing_ball_1,10.0,0.7,-3.0,0.55
15.25,fast_crossing_ball_2,16.0,7.975,-3.0,0.55
15.25,diagonal_crossing_ball,23.3606,-9.3876,-3.0,0.5
15.25,inner_patrol_ball,25.5507,8.0812,-3.0,0.45
15.25,target_patrol_ball,28.0004,19.9502,-3.0,0.45
15.5,fast_crossing_ball_1,10.0,1.0,-3.0,0.55
15.5,fast_crossing_ball_2,16.0,7.65,-3.0,0.55
15.5,diagonal_crossing_ball,23.4254,-9.1203,-3.0,0.5
15.5,inner_patrol_ball,25.1887,8.3481,-3.0,0.45
15.5,target_patrol_ball,28.0176,20.3246,-3.0,0.45
15.75,fast_crossing_ball_1,10.0,1.3,-3.0,0.55
15.75,fast_crossing_ball_2,16.0,7.325,-3.0,0.55
15.75,diagonal_crossing_ball,23.4902,-8.853,-3.0,0.5
15.75,inner_patrol_ball,24.799,8.5726,-3.0,0.45
15.75,target_patrol_ball,28.0813,20.6939,-3.0,0.45
16.0,fast_crossing_ball_1,10.0,1.6,-3.0,0.55
16.0,fast_crossing_ball_2,16.0,7.0,-3.0,0.55
16.0,diagonal_crossing_ball,23.555,-8.5858,-3.0,0.5
16.0,inner_patrol_ball,24.3865,8.752,-3.0,0.45
16.0,target_patrol_ball,28.1906,21.0523,-3.0,0.45
16.25,fast_crossing_ball_1,10.0,1.9,-3.0,0.55
16.25,fast_crossing_ball_2,16.0,6.675,-3.0,0.55
16.25,diagonal_crossing_ball,23.6198,-8.3185,-3.0,0.5
16.25,inner_patrol_ball,23.9566,8.8839,-3.0,0.45
16.25,target_patrol_ball,28.3438,21.3944,-3.0,0.45
