time,obstacle_id,x,y,z,radius
65.5,crossing_ball_left,11.0,-11.35,-3.0,0.5
65.5,crossing_ball_right,17.0,16.5,-3.0,0.5
65.5,center_patrol_ball,20.1255,11.091,-3.0,0.45
66.0,crossing_ball_left,11.0,-11.8,-3.0,0.5
66.0,crossing_ball_right,17.0,16.0,-3.0,0.5
66.0,center_patrol_ball,19.5352,10.765,-3.0,0.45
66.5,crossing_ball_left,11.0,-11.75,-3.0,0.5
66.5,crossing_ball_right,17.0,15.5,-3.0,0.5
66.5,center_patrol_ball,19.0003,10.3543,-3.0,0.45
67.0,crossing_ball_left,11.0,-11.3,-3.0,0.5
67.0,crossing_ball_right,17.0,15.0,-3.0,0.5
67.0,center_patrol_ball,18.5327,9.8684,-3.0,0.45
67.5,crossing_ball_left,11.0,-10.85,-3.0,0.5
67.5,crossing_ball_right,17.0,14.5,-3.0,0.5
67.5,center_patrol_ball,18.143,9.318,-3.0,0.45
68.0,crossing_ball_left,11.0,-10.4,-3.0,0.5
68.0,crossing_ball_right,17.0,14.0,-3.0,0.5
68.0,center_patrol_ball,17.8399,8.7156,-3.0,0.45
68.5,crossing_ball_left,11.0,-9.95,-3.0,0.5
68.5,crossing_ball_right,17.0,13.5,-3.0,0.5
68.5,center_patrol_ball,17.6302,8.0747,-3.0,0.45
69.0,crossing_ball_left,11.0,-9.5,-3.0,0.5
69.0,crossing_ball_right,17.0,13.0,-3.0,0.5
69.0,center_patrol_ball,17.5187,7.4096,-3.0,0.45
69.5,crossing_ball_left,11.0,-9.05,-3.0,0.5
69.5,crossing_ball_right,17.0,12.5,-3.0,0.5
69.5,center_patrol_ball,17.5078,6.7353,-3.0,0.45
70.0,crossing_ball_left,11.0,-8.6,-3.0,0.5
70.0,crossing_ball_right,17.0,12.0,-3.0,0.5
70.0,center_patrol_ball,17.5978,6.067,-3.0,0.45
70.5,crossing_ball_left,11.0,-8.15,-3.0,0.5
70.5,crossing_ball_right,17.0,11.5,-3.0,0.5
70.5,center_patrol_ball,17.7866,5.4196,-3.0,0.45
71.0,crossing_ball_left,11.0,-7.7,-3.0,0.5
71.0,crossing_ball_right,17.0,11.0,-3.0,0.5
71.0,center_patrol_ball,18.0701,4.8077,-3.0,0.45
71.5,crossing_ball_left,11.0,-7.25,-3.0,0.5
71.5,crossing_ball_right,17.0,10.5,-3.0,0.5
71.5,center_patrol_ball,18.4419,4.2451,-3.0,0.45
